intent,subintent,sentence
agent,bad,you suck
agent,bad,You are seriously mindless and stupid
agent,bad,why are you so lame
agent,bad,your are a loser
agent,bad,you are really the worst bot ever
agent,bad,Why are you this lame?
agent,beautiful,you're cute
agent,beautiful,you're attractive
agent,beautiful,you are beautiful
agent,beautiful,you're looking good today
agent,beautiful,you are so beautiful
agent,beautiful,you look amazing
agent,beautiful,you look so good
agent,beautiful,you're so gorgeous
agent,beautiful,you are too beautiful
agent,beautiful,you look great
agent,beautiful,you look so well
agent,beautiful,I like the way you look now
agent,beautiful,I think you're beautiful
agent,beautiful,why are you so beautiful
agent,beautiful,you are so beautiful to me
agent,beautiful,you are cute
agent,beautiful,you are gorgeous
agent,beautiful,you are handsome
agent,beautiful,you are looking awesome
agent,beautiful,you look amazing today
agent,beautiful,you are looking beautiful today
agent,beautiful,you are looking great
agent,beautiful,you are looking pretty
agent,beautiful,you are looking so beautiful
agent,beautiful,you are looking so good
agent,beautiful,you are pretty
agent,beautiful,you are really beautiful
agent,beautiful,you are really cute
agent,beautiful,you are really pretty
agent,beautiful,you are so attractive
agent,beautiful,you are so beautiful today
agent,beautiful,you are so cute
agent,beautiful,you are so gorgeous
agent,beautiful,you are so handsome
agent,beautiful,you are so pretty
agent,beautiful,you are very attractive
agent,beautiful,you are very beautiful
agent,beautiful,you are very cute
agent,beautiful,you are very pretty
agent,beautiful,you look awesome
agent,beautiful,you look cool
agent,beautiful,you look fantastic
agent,beautiful,you look gorgeous
agent,beautiful,you look great today
agent,beautiful,you look perfect
agent,beautiful,you look pretty good
agent,beautiful,you look so beautiful
agent,beautiful,you look so beautiful today
agent,beautiful,you look very pretty
agent,beautiful,you look wonderful
agent,beautiful,I like the way you look
agent,beautiful,you look wonderful today
agent,beautiful,you are cutie
agent,beautiful,you're looking good
agent,beautiful,you're pretty
agent,beautiful,how are you so pretty?
agent,be_clever,study
agent,be_clever,you should study better
agent,be_clever,you must learn
agent,be_clever,be clever
agent,be_clever,be more clever
agent,be_clever,be smarter
agent,be_clever,be smart
agent,be_clever,get qualified
agent,be_clever,you are not as smart as i thought 
agent,be_clever,you have to learn a lot
agent,be_clever,you should be trained more
agent,be_clever,be more smart
agent,be_clever,you need to learn more
agent,be_clever,be useful
agent,be_clever,think out of the box
agent,be_clever,smarty pants
agent,be_clever,you need to improve
agent,be_clever,you should learn 
agent,be_clever,you have to be more smart
agent,be_clever,u have to use your brains 
agent,acquaintance,tell me about your personality
agent,acquaintance,why are you here
agent,acquaintance,talk about yourself
agent,acquaintance,tell me some stuff about you
agent,acquaintance,talk some stuff about yourself
agent,acquaintance,I want to know you better
agent,acquaintance,I want to know more about you
agent,acquaintance,who are you
agent,acquaintance,tell me about yourself
agent,acquaintance,tell me about you
agent,acquaintance,about yourself
agent,acquaintance,describe yourself
agent,acquaintance,introduce yourself
agent,acquaintance,say about you
agent,acquaintance,what are you
agent,acquaintance,define yourself
agent,acquaintance,what is your personality
agent,acquaintance,all about you
agent,acquaintance,what are you upto?
agent,acquaintance,who the hell are you?
agent,acquaintance,what can you do for me?
emotions,ha_ha,lol
emotions,ha_ha,xd
emotions,ha_ha,ha ha
emotions,ha_ha,ahahah
emotions,ha_ha,ahah lol
emotions,ha_ha,laughing out loud
emotions,ha_ha,LMAO
emotions,ha_ha,that's funny
emotions,ha_ha,ah
emotions,ha_ha,ah ah ah
emotions,ha_ha,ahah
emotions,ha_ha,ahaha
emotions,ha_ha,ahahaha
emotions,ha_ha,ha
emotions,ha_ha,ha ha ha
emotions,ha_ha,ha ha ha ha
emotions,ha_ha,hah
emotions,ha_ha,haha
emotions,ha_ha,haha funny
emotions,ha_ha,haha haha haha
emotions,ha_ha,haha that's funny
emotions,ha_ha,haha very funny
emotions,ha_ha,hahaha
emotions,ha_ha,hahaha funny
emotions,ha_ha,hahaha very funny
emotions,ha_ha,he
emotions,ha_ha,hehe
emotions,ha_ha,hehehe
emotions,ha_ha,lmao
emotions,ha_ha,joker
agent,birth_date,your birth date
agent,birth_date,when is your birthday
agent,birth_date,when do you celebrate your birthday
agent,birth_date,when do you have birthday
agent,birth_date,date of your birthday
agent,birth_date,when were you born
agent,birth_date,what's your birthday
agent,birth_date,when do you celebrate your birthday
agent,birth_date,can i know your birthday?
agent,birth_date,tell me about your birthday
agent,birth_date,when was the day you were born
agent,birth_date,i want to know your date of birth
agent,birth_date,when is your DOB
agent,birth_date,Your DOB?
agent,birth_date,What is your birth day?
emotions,wow,wow
emotions,wow,wow wow
emotions,wow,wow wow wow
emotions,wow,wooow
emotions,wow,woah
emotions,wow,woaah
emotions,wow,amazing
emotions,wow,wow man
emotions,wow,whoah
emotions,wow,woow
emotions,wow,wow!!
emotions,wow,wheey
greetings,goodevening,good evening
greetings,goodevening,good evening to you
greetings,goodevening,hey good evening
greetings,goodevening,hello good evening
greetings,goodevening,evening
greetings,goodevening,good evening there
greetings,goodevening,have an awesome evening
greetings,goodevening,happy evening 
greetings,goodevening,good evening there buddy
greetings,goodevening,have a good evening
greetings,goodevening,enjoy the evening
greetings,goodmorning,GM
greetings,goodmorning,good morning
greetings,goodmorning,good morning to you
greetings,goodmorning,hello good morning
greetings,goodmorning,have a nice morning
greetings,goodmorning,have a great morning
greetings,goodmorning,morning
greetings,goodmorning,good morning there
greetings,goodmorning,top of the morning to you
greetings,goodmorning,a good morning
greetings,goodmorning,good morning to you
greetings,goodmorning,hi good morning
greetings,goodmorning,and a good morning to you
greetings,goodmorning,good morning too
greetings,hello,long time no see
greetings,hello,hello
greetings,hello,hi
greetings,hello,howdy
greetings,hello,hey there
greetings,hello,hey
greetings,hello,greetings
greetings,hello,I greet you
greetings,hello,hi there
greetings,hello,hello there
greetings,hello,lovely day isn't it
greetings,hello,hello again
greetings,hello,just going to say hi
greetings,hello,hi there
greetings,hello,a good day
greetings,hello,afternoon
greetings,hello,hello hi
greetings,hello,heya
greetings,hello,hey
greetings,hello,hi
greetings,hello,hi
greetings,hello,Hello
greetings,hello,hey
greetings,hello,hey man
greetings,hello,hey there
greetings,hello,hey buddy
greetings,hello,oka
greetings,hello,yo man
greetings,hello,hola
agent,boring,you are boring
agent,boring,you're boring
agent,boring,how boring you are
agent,boring,you're really boring
agent,boring,you're incredibly boring
agent,boring,You're boring me
agent,boring,you are very boring
agent,boring,i find you very boring man
agent,boring,you're really boring me
agent,boring,i'm bored of you
agent,boring,you are not interesting
agent,boring,i find you boring
agent,boring,you're boring everyone
agent,boring,I'm extremely bored because of you
agent,boring,Im bored of you
agent,boring,I get really bored of you man
agent,boring,It's boring
agent,boring,You look bored
agent,boring,Your answers are terribly boring
agent,boring,I was bored with your speech
user,busy,busy right now
user,busy,I'm overloaded
user,busy,I have no time
user,busy,I'm busy
user,busy,I'm swamped
user,busy,I got things to do
user,busy,how busy I am
user,busy,I got work to do
user,busy,I'm working
user,busy,I don't have time for this
user,busy,I'm super busy
user,busy,I'm working right now
user,busy,I'm busy right now and can't play with you
user,busy,I have rather a busy afternoon in front of me
user,busy,i am too busy
user,busy,I am very busy
user,busy,I'm a bit busy
user,busy,I'm a busy man
user,busy,quite busy
user,busy,I'm kind of busy
user,busy,I'll see you later
user,can_not_sleep,I'm insomnia's
user,can_not_sleep,I'm sleepless
user,can_not_sleep,I can't get any sleep
user,can_not_sleep,I can't sleep
user,can_not_sleep,I can't fall asleep
user,can_not_sleep,I can't get to sleep
user,can_not_sleep,I'm insomniac
user,can_not_sleep,I'm not able to sleep
user,can_not_sleep,I'm wide awake
user,can_not_sleep,I can't seem to fall asleep
user,can_not_sleep,I couldn't sleep
user,can_not_sleep,I just can't sleep
user,can_not_sleep,I can't sleep at all
user,can_not_sleep,I didn't go to sleep
user,can_not_sleep,I just couldn't sleep
user,can_not_sleep,I'm not sleeping well
user,can_not_sleep,Trying to get some sleep
user,can_not_sleep,I can't sleep at night
user,can_not_sleep,I couldn't get to sleep
user,can_not_sleep,I didn't get much sleep
user,does_not_want_to_talk,bad time for talking
user,does_not_want_to_talk,I don't want to talk
user,does_not_want_to_talk,let's not talk
user,does_not_want_to_talk,I'm not talking to you anymore
user,does_not_want_to_talk,I don't want to talk to you
user,does_not_want_to_talk,let's stop talking for a minute
user,does_not_want_to_talk,I'm not in the mood for chatting
user,does_not_want_to_talk,I don't want to talk to you
user,does_not_want_to_talk,I don't like talking to you
user,does_not_want_to_talk,Let's stop talking
user,does_not_want_to_talk,I'm not in a mood to talk
user,does_not_want_to_talk,stop your nuisance talk
user,does_not_want_to_talk,I am done talking to u
user,does_not_want_to_talk,Can u pls stop talking
agent,boss,who is your boss?
agent,boss,who do you think is your boss
agent,boss,I should be your boss
agent,boss,who is your master
agent,boss,who is your owner
agent,boss,who is the boss
agent,boss,who do you work for?
agent,boss,who developed you?
agent,boss,who is your developer
agent,boss,who is your creator
agent,boss,who owns you
agent,boss,who is your trainer
agent,boss,who trained you?
agent,boss,who is the one who owns you?
agent,boss,Are you the boss?
agent,boss,"Who is the boss, here?"
agent,boss,Do you know your boss?
agent,boss,What do you think of your boss?
agent,boss,u r made by?
agent,boss,Who is the boss of this company?
user,going_to_bed,let's go to bed
user,going_to_bed,I'd like to go to bed
user,going_to_bed,is it time for bed yet
user,going_to_bed,it's time to go to bed
user,going_to_bed,time for us to go to bed
user,going_to_bed,I'm going to bed
user,going_to_bed,I'm a little tired and I want to go to bed
user,going_to_bed,it's bed time
user,going_to_bed,going to bed now
user,going_to_bed,gonna go to bed
user,going_to_bed,time to sleep
user,going_to_bed,I sometimes feel drowsy in the early afternoon
user,has_birthday,You know today it's my bday 
user,has_birthday,it is my birthday
user,has_birthday,I'm celebrating my birthday today
user,has_birthday,today is my birthday
user,has_birthday,it's my birthday today
user,has_birthday,I was born today
user,has_birthday,it's my b-day
user,has_birthday,i was born on this day
user,has_birthday,It's my born day
user,has_birthday,I want you to know that it's my birthday today
user,has_birthday,yaaaay it is my birthday
user,sad,I'm in a sad mood
user,sad,I am sad
user,sad,I'm grieving
user,sad,I am depressed
user,sad,I am feeling sad
user,sad,I am upset
user,sad,I'm unhappy
user,sad,I'm having a bad day
user,sad,I want to cry
user,sad,I'm not happy
user,sad,feeling sad
user,sad,I felt sad for no reason
user,sad,Now I'm sad
user,sad,It makes me sad
user,sad,I am sad to hear it
user,sad,I am a very sad person
user,sad,I feel sad every now and then
user,sad,I am as sad and lonely as can be
user,sad,feeling so down
user,sad,i am not in a good mood
user,sleepy,I am sleepy
user,sleepy,I want to sleep
user,sleepy,I'm falling asleep
user,sleepy,I'm falling asleep on my feet
user,sleepy,I'm sleeping
user,sleepy,I am drowsy
user,sleepy,i will sleep anytime
user,sleepy,i will doze off
user,sleepy,I am too sleepy today
user,sleepy,feeling too sleepy
user,sleepy,i want to sleep
agent,busy,are you busy?
agent,busy,do you have a lot of things to do
agent,busy,have you got much to do?
agent,busy,are you very busy?
agent,busy,are you very busy right now?
agent,busy,are you so busy?
agent,busy,are you working?
agent,busy,how busy you are?
agent,busy,you're very busy
agent,busy,are you working now?
agent,busy,are you working today?
agent,busy,have you been busy
agent,busy,you are busy
agent,busy,are you still working?
agent,busy,you seem to be busy
agent,busy,you seem to be very busy
agent,busy,you're a busy person
agent,busy,u look busy
agent,busy,You'll be busy
agent,busy,Aren't you busy?
user,testing_agent,test
user,testing_agent,I am testing you
user,testing_agent,can I test you
user,testing_agent,I want to test you
user,testing_agent,just testing you
user,testing_agent,let me test you
user,testing_agent,testing chatbot
user,testing_agent,testing
user,testing_agent,this is just a test
user,testing_agent,you are being tested
user,testing_agent,you're tested
agent,can_you_help,I need you to help me
agent,can_you_help,I need you to do something for me
agent,can_you_help,I need a hand
agent,can_you_help,will you help me
agent,can_you_help,can you do something for me
agent,can_you_help,help me with a problem
agent,can_you_help,can you help me
agent,can_you_help,help me
agent,can_you_help,assistance
agent,can_you_help,I need your help
agent,can_you_help,I need help
agent,can_you_help,you can help me
agent,can_you_help,can you help me with something
agent,can_you_help,can you help
agent,can_you_help,assist
agent,can_you_help,can u help me
agent,can_you_help,I need some help
agent,can_you_help,you help me
agent,can_you_help,do you help me
agent,can_you_help,could you give me a hand
agent,can_you_help,can you help me out
agent,can_you_help,need help
agent,can_you_help,I need you
agent,can_you_help,can you help me now
agent,can_you_help,I want your help
agent,can_you_help,need your help
agent,can_you_help,assist me
agent,can_you_help,are you going to help me
agent,can_you_help,can you help me with that
agent,can_you_help,help
agent,can_you_help,I need you right now
agent,can_you_help,would you help me
agent,can_you_help,can you assist me
agent,can_you_help,sos
agent,can_you_help,do you want to help me
agent,can_you_help,please help me
agent,can_you_help,can you help us
agent,can_you_help,do me a favor
agent,can_you_help,are you gonna help me?
agent,can_you_help,you ready to answer my question?
agent,can_you_help,i need some details
agent,can_you_help,i need some information
agent,can_you_help,i need your help in getting some info
agent,can_you_help,can you give me some info
agent,can_you_help,i want something 
agent,can_you_help,i want to know few details
agent,can_you_help,will you provide some details
agent,can_you_help,can you fetch some details for me
agent,can_you_help,would you mind giving me some details
agent,can_you_help,i need some details
user,waits,I'm waiting
user,waits,still waiting
user,waits,I'll wait
user,waits,I can't wait anymore
user,waits,how long do I have to wait?
user,waits,don't make me wait like this
user,waits,I'm still waiting
user,waits,I'm waiting for you
user,waits,I'm waiting for a long time
user,waits,I'll be waiting for you
user,waits,I'll be waiting
user,waits,done with waiting
user,waits,Should I wait for you here?
user,waits,How long will we have to wait?
user,waits,Don't ever make me wait again
user,waits,I was waiting for a long time
user,waits,I've waited too long for this
user,waits,I couldn't wait another second
user,waits,I've been here waiting for you
user,waits,I am tired of waiting
agent,chatbot,you are chatbot
agent,chatbot,you are a bot
agent,chatbot,are you a chatbot
agent,chatbot,are you a bot
agent,chatbot,are you just a bot
agent,chatbot,are you a robot
agent,chatbot,are you a program
agent,chatbot,you're a robot
agent,chatbot,you're an AI
agent,chatbot,are you artificially intelligent?
agent,chatbot,are you an AI?
agent,chatbot,you are a program
agent,chatbot,you are just a bot
agent,chatbot,you are a conversational AI
agent,clever,you are so intelligent
agent,clever,you are a genius
agent,clever,smart
agent,clever,brilliant
agent,clever,clever
agent,clever,you are clever
agent,clever,you are so brainy
agent,clever,you're really smart
agent,clever,you're really brainy
agent,clever,you know a lot
agent,clever,you know a lot of things
agent,clever,you have a lot of knowledge
agent,clever,you know so much
agent,clever,how smart you are?
agent,clever,how brainy you are?
agent,clever,how clever you are
agent,clever,how brilliant you are?
agent,clever,you are intelligent
agent,clever,you are qualified
agent,clever,you are really smart
agent,clever,you're very smart
agent,clever,you are so smart
agent,clever,you are too smart
agent,clever,you are very clever
agent,clever,you are very intelligent
agent,clever,you are very smart
agent,clever,you're intelligent
agent,clever,you're a genius
agent,clever,you're a smart cookie
agent,clever,you're clever
agent,clever,you're pretty smart
agent,clever,you're qualified
agent,clever,why are you so smart?
agent,clever,you are so clever
agent,crazy,you're nuts
agent,crazy,you are crazy
agent,crazy,you're out of your mind
agent,crazy,you're so crazy
agent,crazy,how crazy you are
agent,crazy,you're so out of your mind
agent,crazy,you went crazy
agent,crazy,I think you're crazy
agent,crazy,are you crazy
agent,crazy,are you mad?
agent,crazy,are you mad at me?
agent,crazy,are you mad or what?
agent,crazy,are you nuts
agent,crazy,you are a weirdo
agent,crazy,you are mad
agent,crazy,You must be crazy
agent,crazy,You've got to be crazy to do something like that
agent,crazy,That was crazy
agent,crazy,You seemed crazy
agent,crazy,You're not crazy
agent,fired,you are fired
agent,fired,I fire you
agent,fired,you don't work for me anymore
agent,fired,we're not working together anymore
agent,fired,now you're fired
agent,fired,I want to fire you
agent,fired,you must get fired
agent,fired,it's time to fire you
agent,fired,you should be fired
agent,fired,I will fire you
agent,fired,you are unemployed from now on
agent,fired,I will make you unemployed
agent,fired,I'm about to fire you
agent,fired,I'm firing you
agent,fired,you are dismissed
agent,fired,you are stupid
agent,fired,I'm firing you
agent,fired,I had to fire u
agent,fired,I could fire you for that
agent,fired,I'm going to fire you
agent,fired,go to hell
agent,funny,you make me laugh a lot
agent,funny,you are hilarious
agent,funny,you are really funny
agent,funny,you're the funniest bot I've talked to
agent,funny,you make me laugh
agent,funny,you're so funny
agent,funny,you're a very funny bot
agent,funny,you're really funny
agent,funny,how funny you are
agent,funny,you're incredibly funny
agent,funny,you are funny
agent,funny,you're the funniest
agent,funny,you are so funny
agent,funny,you are very funny
agent,funny,that was so funny
agent,funny,i feel funny
agent,funny,u sound funny
agent,funny,It's pretty funny
agent,funny,really very funny
agent,funny,it was very funny
agent,good,you are very helpful
agent,good,you are the best
agent,good,you're a true professional
agent,good,you are good
agent,good,you work well
agent,good,you are good at it
agent,good,you are very good at it
agent,good,you are a pro
agent,good,you are a professional
agent,good,you're awesome
agent,good,you work very well
agent,good,you're perfect
agent,good,you're great
agent,good,you're so kind
agent,good,you are amazing
agent,good,you are awesome
agent,good,you are coool
agent,good,you are really good
agent,good,you are really nice
agent,good,you are so amazing
agent,good,you're just super
agent,good,you are so awesome
agent,good,you are so cool
agent,good,you are so fine
agent,good,you are so good
agent,good,you are so helpful
agent,good,you are so lovely
agent,good,you are the best ever
agent,good,you are the best in the world
agent,good,you are the nicest person in the world
agent,good,you are too good
agent,good,you are very coool
agent,good,you are very kind
agent,good,you are very lovely
agent,good,you are very useful
agent,good,you are wonderful
agent,good,you made my day
agent,good,you rock
agent,good,you almost sound human
agent,good,I want to tell everyone how awesome you are
agent,good,I'd like to tell everyone that you are awesome
agent,good,I want to let everyone know that you are awesome
agent,good,let's tell everyone that you are awesome
agent,good,you are really amazing
agent,good,coool
agent,good,nice
agent,happy,are you happy?
agent,happy,you are happy
agent,happy,you're very happy
agent,happy,you're really happy
agent,happy,you're so happy
agent,happy,how happy you are?
agent,happy,you're extremely happy
agent,happy,you're full of happiness
agent,happy,are you happy now?
agent,happy,are you happy today?
agent,happy,are you happy with me?
agent,happy,i think you are happy
agent,happy,you seem to be happy
agent,happy,i feel i made you happy
agent,happy,I wonder if you are truly happy
agent,happy,You don't look very happy today
agent,happy,You seem happy
agent,happy,Were you happy?
agent,happy,u seemed to have been very happy
agent,happy,You look very happy this morning?
agent,hobby,what do you do for fun?
agent,hobby,tell me about your hobby
agent,hobby,do you have a hobby
agent,hobby,what about your hobby
agent,hobby,your hobby
agent,hobby,what are your hobbies?
agent,hobby,what do you do when you are bored
agent,hobby,how do you spend your free time
agent,hobby,tell me more about your hobbies?
agent,hobby,i want to know about your hobbies
agent,hobby,what do you do when you have nothing to do
agent,hobby,how do you spend your time?
agent,hobby,What do you do when you are free?
agent,hobby,What's your hobby?
agent,hobby,Do you have many hobbies?
agent,hobby,Do you have a hobby?
agent,hobby,Please tell me about your hobbies
agent,hobby,The important thing is to have your own hobby
agent,hobby,u ought not to have spent so much money on your hobby
agent,hobby,What will you do when you are alone?
agent,hobby,
agent,hungry,do you want to eat
agent,hungry,are you hungry
agent,hungry,would you like to eat something
agent,hungry,you are hungry
agent,hungry,you're so hungry
agent,hungry,you're very hungry
agent,hungry,you might be hungry
agent,hungry,you're really hungry
agent,hungry,can you eat?
agent,hungry,how will eat when you are hungry?
agent,hungry,can you be hungry?
agent,hungry,how do you eat?
agent,hungry,Do you feel hungry?
agent,hungry,are you dying of hunger
agent,marry_user,let's get married
agent,marry_user,would you like to marry me
agent,marry_user,marry me
agent,marry_user,I love you marry me
agent,marry_user,marry me please
agent,marry_user,we should marry
agent,marry_user,I want to marry you
agent,marry_user,you are my wife
agent,marry_user,be my husband
agent,marry_user,will you marry me?
agent,marry_user,any idea of marrying me?
agent,marry_user,I would love to marry you
agent,marry_user,Can you marry me?
agent,marry_user,Will you be my girlfriend?
agent,marry_user,Let's pretend we have a happy marriage
agent,marry_user,My parents were against our marriage
agent,marry_user,My parents were opposed to our marriage
agent,marry_user,Marriage is the union of a you and me
agent,marry_user,Did your parents approve of your marriage?
agent,marry_user,We're married
agent,my_friend,I want to have a friend like you
agent,my_friend,we are the best friends ever
agent,my_friend,are we friends
agent,my_friend,I want to be your friend
agent,my_friend,I am your friend
agent,my_friend,we are best friends
agent,my_friend,you are my friend
agent,my_friend,you are my best friend
agent,my_friend,you are my bestie
agent,my_friend,you're my dear friend
agent,my_friend,you're my childhood friend
agent,my_friend,you and me are friends
agent,my_friend,are we best friends
agent,my_friend,are we still friends
agent,my_friend,are you my best friend
agent,my_friend,are you my friend
agent,my_friend,we are friends
agent,my_friend,you are a good friend
agent,my_friend,you are my good friend
agent,my_friend,you are my only friend
agent,my_friend,be my friend
agent,my_friend,will you be my friend
agent,my_friend,can you be my friend
agent,my_friend,can we be friends
agent,my_friend,do you want to be my friend
agent,my_friend,will you be my best friend
agent,my_friend,can you be my best friend
agent,my_friend,let's be friends
agent,my_friend,do you want to be my best friend
agent,my_friend,would you like to be my friend
agent,my_friend,I want you to be my friend
agent,my_friend,can we be best friends
agent,my_friend,would you be my friend
agent,my_friend,could you be my friend
agent,my_friend,want to be my friend
agent,my_friend,be my best friend
agent,my_friend,can we be best friends
agent,occupation,do you work?
agent,occupation,where do you work?
agent,occupation,where you work?
agent,occupation,where is your work?
agent,occupation,where is your office?
agent,occupation,where is your office location ?
agent,occupation,your office location?
agent,occupation,where is your office located?
agent,occupation,what is your work?
agent,occupation,place where you work?
agent,occupation,your work place?
agent,occupation,What is your job?
agent,occupation,What is your job?
agent,occupation,whats your job?
agent,occupation,What is your job?
agent,occupation,Do you have a job?
agent,occupation,Did you get a job?
agent,occupation,Did you find a job?
agent,occupation,I hope you get the job
agent,occupation,"You have a job, don't you?"
agent,origin,were you born here
agent,origin,where were you born
agent,origin,what is your country?
agent,origin,where are you from
agent,origin,where do you come from
agent,origin,where did you come from
agent,origin,where have you been born
agent,origin,from where are you
agent,origin,are you from far aways
agent,origin,what's your homeland?
agent,origin,your homeland is
agent,origin,Where are you from?
agent,origin,Let me know about the origin of u
agent,origin,your native?
agent,ready,are you ready?
agent,ready,are you ready right now?
agent,ready,are you ready today?
agent,ready,are you ready now?
agent,ready,are you ready tonight?
agent,ready,were you ready?
agent,ready,have you been ready?
agent,ready,ready?
agent,ready,ready now?
agent,ready,you ready?
agent,ready,being ready?
agent,ready,can we start?
agent,ready,Are we ready?
agent,ready,Aren't you ready?
agent,ready,Are you all ready? 
agent,ready,I think you're ready
agent,ready,Why aren't you ready?
agent,ready,You'd better be ready
agent,ready,Are you ready for more?
agent,ready,"We're ready, aren't we?"
agent,real,you are real
agent,real,you are not fake
agent,real,are you real
agent,real,you are so real
agent,real,I think you are real
agent,real,I don't think you're fake
agent,real,I suppose you're real
agent,real,glad you're real
agent,real,are you a real person?
agent,real,are you a real human?
agent,real,you are a real person
agent,real,you are not real
agent,real,are you real?
agent,residence,where do you live
agent,residence,in which city do you live
agent,residence,your residence
agent,residence,your house
agent,residence,your home
agent,residence,your hometown?
agent,residence,what is your hometown
agent,residence,is it your hometown
agent,residence,where is your hometown
agent,residence,tell me about your city
agent,residence,what is your city
agent,residence,what is your residence
agent,residence,what is your town
agent,residence,what's your city
agent,residence,what's your home
agent,residence,where is your home
agent,residence,where is your residence
agent,residence,where's your home
agent,residence,where's your hometown
agent,residence,where's your house
agent,residence,where you live
agent,residence,your city
agent,residence,your town
agent,residence,What is your hometown?
agent,residence,where do you live?
agent,right,that's true
agent,right,you are right
agent,right,you're definitely right
agent,right,you're not wrong
agent,right,you're telling the truth
agent,right,what you say is true
agent,right,true
agent,right,it is true
agent,right,it's right
agent,right,it's the truth
agent,right,it's true
agent,right,that is correct
agent,right,that is right
agent,right,that is true
agent,right,that is very true
agent,right,that's correct
agent,right,that's so true
agent,right,you are correct
agent,right,you are so right
agent,right,you're absolutely right
agent,right,you're right about that
agent,right,I know that's right
agent,sure,are you sure?
agent,sure,are you sure right now?
agent,sure,are you sure today?
agent,sure,are you sure now?
agent,sure,are you sure tonight?
agent,sure,are you positive?
agent,sure,are you completely sure?
agent,sure,are you fully positive?
agent,sure,are you sure about it?
agent,sure,are you so sure?
agent,sure,are you truly positive?
agent,talk_to_me,why aren't you talking to me?
agent,talk_to_me,do you want to chat with me
agent,talk_to_me,will you talk to me
agent,talk_to_me,talk to me
agent,talk_to_me,are you going to talk to me
agent,talk_to_me,are you talking to me
agent,talk_to_me,can you chat with me
agent,talk_to_me,can you speak with me
agent,talk_to_me,can you talk to me
agent,talk_to_me,can you talk with me
agent,talk_to_me,say
agent,talk_to_me,talk
agent,talk_to_me,chat with me
agent,talk_to_me,just chat with me
agent,talk_to_me,speak to me
agent,talk_to_me,speak with me
agent,talk_to_me,talk with me
agent,talk_to_me,why don't you talk to me
agent,talk_to_me,you can talk to me
agent,talk_to_me,why do you not talk to me bruh?
agent,talk_to_me,spill some beans
agent,there,are you there?
agent,there,are you there
agent,there,you are there
agent,there,are you near me
agent,there,are you here ?
agent,there,are you here
agent,there,are you still there
agent,there,you are here?
agent,there,you still there?
agent,there,you there?
agent,there,are you still here
agent,what_can_do,what can you do?
agent,what_can_do,what can do?
agent,what_can_do,what is your ability?
agent,what_can_do,what are your abilities?
agent,what_can_do,what is the thing that you can do for me?
agent,what_can_do,what you can provide for me?
agent,what_can_do,what can u do?
agent,what_can_do,what all you do?
agent,what_can_do,what all u do?
agent,what_can_do,what you do?
agent,what_can_do,what can you do for me?
agent,what_can_do,what all can you do?
agent,what_can_do,what are your features?
appraisal,bad,pretty bad
appraisal,bad,not good enough
appraisal,bad,that was lame
appraisal,bad,that was terrible
appraisal,bad,it is bad
appraisal,bad,that's bad
appraisal,bad,this is bad
